movieCd,rating
19278002,
19288001,8.68
19308006,
19328008,
19338008,
19358005,8.16
19358007,7.8
19368015,
19378007,0.0
19378023,7.83
19380009,7.06
19388001,8.0
19388005,
19388012,8.25
19398001,
19398005,
19398015,
19408005,7.45
19408011,
19418007,8.62
19418009,
19420001,
19428001,7.0
19428006,
19428007,9.14
19428012,8.5
19438005,8.0
19438006,
19438008,7.33
19438010,
19448003,7.92
19448005,
19448011,5.33
19450011,7.75
19458003,8.23
19458005,
19458008,7.75
19460021,8.56
19468008,7.88
19468010,8.13
19468011,
19468013,7.8
19468015,0.0
19468019,
19478011,
19478012,
19480014,
19488002,
19488003,
19488007,5.5
19488009,7.2
19488031,
19498007,6.5
19498008,8.38
19498014,
19508004,9.15
19508006,8.08
19508011,
19518001,
19518002,
19518005,
19518007,8.0
19518011,6.8
19518015,8.96
19518016,8.08
19518024,0.0
19520011,
19528001,
19528002,7.33
19528008,7.67
19528014,
19530005,
19538007,
19538008,9.0
19538009,
19538014,6.4
19538016,8.7
19538019,9.18
19538021,
19538023,5.5
19540024,9.58
19548002,8.35
19548004,8.67
19548009,
19548011,
19548012,
19548014,
19548015,8.0
19548016,8.15
19548017,9.0
19548018,
19548020,7.0
19548035,9.08
19550028,
19558004,
19558005,7.5
19558011,8.63
19558020,
19558022,
19558023,0.0
19558026,9.0
19558030,7.45
19560001,8.5
19560023,4.8
19568002,
19568004,
19568005,8.05
19568011,7.9
19568013,8.82
19568014,
19568016,
19568017,7.78
19568033,7.15
19568053,8.0
19578006,
19578007,9.41
19578009,8.38
19578010,7.42
19578011,8.0
19578015,7.75
19578027,
19580020,
19580038,
19580061,0.0
19580069,
19580073,6.75
19588001,8.6
19588003,
19588005,8.38
19588006,8.75
19588008,8.2
19588009,
19588012,
19588024,
19588026,
19590006,9.21
19598007,8.71
19598009,8.5
19598012,8.36
19598015,8.86
19598020,8.0
19598021,8.96
19598022,7.64
19598024,8.14
19598036,7.93
19598040,9.4
19598043,7.75
19598050,
19600003,8.94
19600017,8.68
19600018,
19600042,
19600045,
19600050,7.75
19600051,8.0
19600060,
19600099,
19608002,
19608004,9.5
19608010,
19608012,
19608013,
19608020,8.29
19608021,7.5
19608024,7.0
19608025,
19608043,6.67
19608048,7.67
19610001,
19610051,
19618001,
19618003,
19618005,9.33
19618009,8.45
19618013,5.8
19618014,7.31
19618020,
19618028,7.75
19618031,9.0
19628006,8.69
19628008,7.56
19628009,5.4
19628012,
19628013,
19628015,
19628019,7.68
19628021,7.0
19628024,7.0
19628026,8.36
19628028,7.71
19628030,8.23
19628032,8.3
19628055,9.0
19630015,
19630072,9.67
19638008,
19638016,
19638021,
19640025,
19648012,8.75
19648019,8.5
19648033,7.36
19648074,7.29
19650001,
19650018,8.0
19660041,5.0
19668013,6.0
19668028,
19668032,8.38
19670007,
19678038,
19678057,3.8
19678075,0.0
19678097,
19688005,8.32
19688044,5.4
19688097,6.38
19688114,5.5
19698020,9.16
19698021,7.75
19698042,5.0
19698050,
19698088,
19698128,6.0
19700035,5.78
19708069,0.0
19708104,0.0
19710022,
19710073,6.0
19710075,0.0
19710080,0.0
19718150,8.88
19718152,
19718198,
19718251,
19718273,
19720003,10.0
19720009,0.0
19720034,
19720061,
19720109,5.0
19720151,8.0
19720152,5.5
19728042,0.0
19728081,8.2
19728178,8.5
19730010,
19730023,6.5
19730092,8.0
19730122,
19730184,
19738119,
19738172,9.2
19740037,1.0
19740137,0.0
19748089,8.5
19748175,8.63
19748218,
19750002,
19750018,10.0
19750021,0.0
19750082,8.45
19750091,5.0
19750141,7.0
19750155,10.0
19760001,6.73
19760004,7.57
19760017,8.0
19760026,8.09
19760096,7.25
19768232,7.0
19770003,7.25
19770028,9.2
19770051,8.73
19770055,7.71
19770058,8.57
19770073,
19770076,7.25
19770081,
19770088,9.22
19770092,
19770097,
19770100,9.15
19770107,
19770109,
19770111,8.47
19778176,8.5
19779010,7.75
19780033,6.2
19780052,0.0
19780054,
19780066,
19780073,9.21
19780079,
19780093,
19788022,
19788190,8.5
19789099,
19790004,0.0
19790005,8.0
19790012,8.67
19790014,8.0
19790024,
19790038,
19790046,5.14
19790050,8.08
19790055,10.0
19790068,7.5
19790078,8.95
19790095,6.75
19790105,8.46
19790108,8.02
19790164,8.41
19798133,8.17
19798135,
19799055,8.36
19800015,5.5
19800019,6.5
19800035,8.33
19800040,1.5
19800047,10.0
19800049,8.55
19800059,
19800068,8.29
19808057,8.62
19808231,
19810007,
19810019,
19810021,8.58
19810030,8.5
19810031,8.11
19810057,
19810064,8.63
19810070,
19810073,8.45
19818004,8.36
19818112,8.94
19818129,7.68
19820008,
19820019,
19820047,8.43
19820052,
19820068,8.75
19820100,8.06
19820110,
19820112,
19830012,8.0
19830017,7.86
19830047,8.67
19830087,8.0
19830089,
19830115,
19830134,
19840010,8.0
19840015,8.67
19840018,8.83
19840044,8.82
19848035,
19850024,8.54
19850051,7.2
19850053,8.56
19850062,6.85
19850074,8.29
19850104,
19860007,7.44
19860024,8.57
19860029,7.5
19860097,8.63
19860125,8.97
19860130,8.29
19860133,8.23
19868174,7.53
19868175,
19869056,
19869057,
19870056,
19870093,
19870101,
19870108,
19870114,9.11
19870148,7.67
19870150,8.87
19880070,8.57
19880096,7.42
19880104,
19880106,8.39
19880124,8.15
19880136,
19880150,9.3
19880159,9.06
19880203,5.5
19880210,
19880213,7.82
19880227,9.21
19888010,9.29
19890122,
19890136,8.55
19890174,
19890203,
19890252,8.37
19890260,8.83
19890291,8.9
19900023,8.36
19900037,7.24
19900042,7.47
19900118,9.24
19900139,9.06
19900169,
19900204,9.38
19900237,
19900311,8.6
19900335,9.19
19910067,8.11
19910094,9.4
19910095,8.25
19910113,5.25
19910242,9.25
19918269,9.4
19918668,8.79
19920047,6.67
19920142,6.78
19920167,
19920222,
19920241,
19920246,9.37
19920296,8.86
19920315,8.01
19920357,8.79
19920366,
19930004,9.32
19930013,2.83
19930014,6.77
19930025,7.57
19930074,8.43
19930087,
19930125,
19930144,
19930176,7.48
19930225,
19930253,8.93
19930396,8.45
19940034,7.29
19940055,5.43
19940063,7.73
19940256,
19940276,8.55
19940343,9.39
19940433,9.12
19950022,8.83
19950037,7.4
19950040,7.56
19950080,8.99
19950084,9.42
19950095,9.37
19950123,8.75
